p_class,sex,age,sib_sp,parch,fare,rank,followers,title_Dr,title_Master,title_Miss,title_Mr,title_Mrs,family_0,family_1,family_2,family_3,family_4,family_5,family_6,family_7,cabin_A,cabin_B,cabin_C,cabin_D,cabin_E,cabin_F,cabin_G,cabin_N,cabin_T,embarked_Q,embarked_S
0.10133103694957149,0.0,0.9626448510209291,0.0,0.0,0.24418077743861405,0.03377701231652383,0.0,0.0,0.0,0.0,0.03377701231652383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03377701231652383,0.0,0.0,0.0
0.0686701603499473,0.03433508017497365,0.9270471647242886,0.0,0.0,0.3605183418372233,0.03433508017497365,0.0,0.0,0.0,0.03433508017497365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03433508017497365,0.0,0.0,0.0,0.0,0.0,0.03433508017497365
0.075177619613003,0.025059206537667664,0.9091480131865829,0.025059206537667664,0.0,0.40345322525644944,0.025059206537667664,0.025059206537667664,0.0,0.0,0.0,0.0,0.025059206537667664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025059206537667664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025059206537667664,0.0,0.0,0.025059206537667664
0.02984655913466095,0.0,0.9977704718717155,0.0,0.0,0.0,0.02984655913466095,0.0,0.0,0.0,0.0,0.02984655913466095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02984655913466095,0.0,0.0,0.02984655913466095
0.15449988882952428,0.0,0.8754993700339709,0.0,0.0,0.44611842899525134,0.05149996294317476,0.0,0.0,0.0,0.0,0.05149996294317476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05149996294317476,0.0,0.0,0.05149996294317476
0.07288405170790035,0.0,0.8746086204948043,0.0,0.0,0.4737463361013523,0.03644202585395018,0.0,0.0,0.0,0.0,0.03644202585395018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03644202585395018,0.0,0.0,0.03644202585395018
0.016125042390965502,0.0,0.903002373894068,0.0,0.0,0.4281198754801341,0.016125042390965502,0.0,0.0,0.0,0.0,0.016125042390965502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016125042390965502,0.0,0.0,0.016125042390965502
0.11416152439379128,0.0,0.9513460366149273,0.0,0.0,0.2758903506183289,0.03805384146459709,0.0,0.0,0.0,0.0,0.03805384146459709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03805384146459709,0.0,0.0,0.03805384146459709
0.09661344102276863,0.0,0.9661344102276862,0.0,0.0,0.23267737046316775,0.032204480340922874,0.0,0.0,0.0,0.0,0.032204480340922874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032204480340922874,0.0,0.0,0.0
0.06973669928502248,0.0,0.9763137899903146,0.0,0.023245566428340823,0.19536038937706196,0.023245566428340823,0.023245566428340823,0.0,0.0,0.0,0.023245566428340823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245566428340823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245566428340823,0.0,0.0,0.023245566428340823
